class;source;target;total;path
FieldExtraComponents;0;0;0;src/main/java/net/sf/jabref/gui/entryeditor/FieldExtraComponents.java
GroupsTree;0;0;0;src/main/java/net/sf/jabref/gui/groups/GroupsTree.java
SynchronizeFileField;0;0;0;src/main/java/net/sf/jabref/external/SynchronizeFileField.java
AutoCompleteListener;0;0;0;src/main/java/net/sf/jabref/gui/autocompleter/AutoCompleteListener.java
ManageKeywordsAction;0;0;0;src/main/java/net/sf/jabref/gui/actions/ManageKeywordsAction.java
ExternalFileTypeEditor;0;0;0;src/main/java/net/sf/jabref/external/ExternalFileTypeEditor.java
IsiImporter;0;0;0;src/main/java/net/sf/jabref/importer/fileformat/IsiImporter.java
SaveDatabaseAction;0;0;0;src/main/java/net/sf/jabref/exporter/SaveDatabaseAction.java
FileListEntryEditor;0;0;0;src/main/java/net/sf/jabref/gui/FileListEntryEditor.java
EntryEditorTab;0;0;0;src/main/java/net/sf/jabref/gui/entryeditor/EntryEditorTab.java
BibDatabase;0;0;0;src/main/java/net/sf/jabref/model/database/BibDatabase.java
AuthorListParser;0;0;0;src/main/java/net/sf/jabref/model/entry/AuthorListParser.java
FieldSetComponent;0;0;0;src/main/java/net/sf/jabref/gui/FieldSetComponent.java
SearchBar;0;0;0;src/main/java/net/sf/jabref/gui/search/SearchBar.java
MODSEntry;0;0;0;src/main/java/net/sf/jabref/logic/mods/MODSEntry.java
LayoutHelper;0;0;0;src/main/java/net/sf/jabref/logic/layout/LayoutHelper.java
Authors;0;0;0;src/main/java/net/sf/jabref/logic/layout/format/Authors.java
ImportCustomizationDialog;0;0;0;src/main/java/net/sf/jabref/importer/ImportCustomizationDialog.java
MSBibEntry;0;0;0;src/main/java/net/sf/jabref/logic/msbib/MSBibEntry.java
NameFormatterTab;0;0;0;src/main/java/net/sf/jabref/gui/preftabs/NameFormatterTab.java
FileTab;0;0;0;src/main/java/net/sf/jabref/gui/preftabs/FileTab.java
BiblioscapeImporter;0;0;0;src/main/java/net/sf/jabref/importer/fileformat/BiblioscapeImporter.java
GeneralTab;0;0;0;src/main/java/net/sf/jabref/gui/preftabs/GeneralTab.java
TablePrefsTab;0;0;0;src/main/java/net/sf/jabref/gui/preftabs/TablePrefsTab.java
AutoDetectPaths;0;0;0;src/main/java/net/sf/jabref/gui/openoffice/AutoDetectPaths.java
MassSetFieldAction;0;0;0;src/main/java/net/sf/jabref/gui/actions/MassSetFieldAction.java
RightClickMenu;0;0;0;src/main/java/net/sf/jabref/gui/menus/RightClickMenu.java
BibtexNameFormatter;0;0;0;src/main/java/net/sf/jabref/bst/BibtexNameFormatter.java
