;Class;findbugsScary;findbugsBadPractice;findbugsStyle;findbugsAll;pmdPriority;pmdCodeSize;pmdDesign;pmdCoupling;pmdAll;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM;Lines;Statements;X..Branches;Calls;X..Comments;Classes;Methods.Class;Avg.Stmts.Method;Max.Complexity;Max.Depth;Avg.Depth;Avg.Complexity;ID;ncloc;complexity;class_complexity;comment_lines;comment_lines_density;public_undocumented_api;duplicated_lines;violations;code_smells;sqale_index;sqale_debt_ratio;bugs;vulnerabilities;statements;public_api;functions;Commits;CreationTime;Source;Target;Total;DAC;LD;MPC
445;MainTableSelectionListener;0;0;0;1;50;31;2;94;322;32;1;0;43;165;210;1;19;576;301;43887;234;44061;1;26;19937;21;9+;3;35156;243;418;114;114;81;43877;7;0;19;17;159;43891;2;0;219;8;23;123;1364106558;0;0;0;21;0.444444444;70
446;ManageJournalsAction;0;0;0;0;0;0;0;2;11;2;0;0;4;10;0;1;2;43;17;0;9;34.9;1;2;43954;1;2;1;1;219;21;2;2;0;0;2;0;1;1;5;0.8;0;0;7;2;2;25;1364106558;0;0;0;4;1;6
447;ManageJournalsPanel;1;1;1;3;11;3;1;50;278;25;5;0;26;148;200;7;3;684;352;0;483;44015;2;43952;91.33;3;4;16469;3;220;567;81;43964;8;43922;4;0;4;2;15;0.1;2;0;303;4;28;100;1364106558;0;0;0;14;0.615384615;34
448;ManageKeywordsAction;0;0;0;0;15;19;1;110;249;15;0;0;31;137;63;5;2;426;249;44025;214;11;4;27454;46722;12;5;34335;43985;148;308;54;54;29;43990;1;0;4;4;39;0.4;0;0;180;2;8;71;1364106558;0;0;0;20;0.777777778;43
449;MarkEntriesAction;0;0;0;0;1;0;0;9;35;6;0;0;14;43;5;3;5;111;63;44089;35;18;1;5;43928;4;4;29587;43863;323;76;9;9;2;43984;1;0;3;2;10;0.4;0;1;34;2;4;31;1364106558;0;0;0;9;1;17
450;MassSetFieldAction;0;0;0;1;12;14;0;73;194;13;0;0;19;97;28;3;2;325;192;13;178;43879;2;43955;15.56;13;5;31048;28581;149;237;40;40;35;44086;1;0;3;3;39;0.5;0;0;143;2;7;58;1364106558;0;0;0;9;0.923076923;36
451;MatcherSet;0;0;0;0;0;0;1;0;21;5;1;2;1;17;0;6;5;60;23;44020;11;25;1;4;3;4;3;12785;27395;632;33;9;9;0;0;2;0;3;3;30;3;0;0;12;2;4;3;1455726212;0;0;0;1;1;0
452;MatcherSets;0;0;0;0;0;0;1;0;6;2;1;0;4;5;1;3;2;19;8;25;2;0;2;0.5;4;3;3;43952;3;633;14;4;2;0;0;3;0;1;1;5;43862;0;0;3;3;1;1;1455726212;0;0;0;4;0;0
453;MatchesHighlighter;0;0;0;0;3;0;3;6;25;2;1;0;0;17;1;2;2;54;23;13;12;44070;1;1;15;5;3;23743;5;626;28;6;6;12;30;1;0;4;4;60;43837;0;0;15;2;1;5;1456177827;0;0;0;0;0;0
454;MedlineFetcher;0;1;2;5;7;12;3;20;109;10;1;0;12;58;39;1;6;272;131;44025;86;44026;1;8;14185;13;6;17199;25993;375;185;38;19;14;7;5;0;9;9;92;44013;0;0;91;6;9;83;1080590592;3;0;3;9;43952;14
455;MedlineHandler;0;0;0;12;9;33;7;28;280;8;2;0;3;43;10;2;4;547;374;31;168;43871;1;6;49;60;5;15373;43972;392;472;127;127;41;8;0;0;43;41;345;43923;2;0;292;0;5;71;1080590592;0;0;0;3;1;4
456;MedlineImporter;0;0;0;1;4;0;1;11;39;8;0;0;5;31;26;5;7;133;60;43898;30;43854;2;4;43955;4;6;27395;31413;393;80;18;18;14;44088;0;38;5;3;45;44075;2;0;34;1;6;37;1364106558;0;0;0;4;1;3
457;MedlinePlainImporter;0;0;0;0;24;27;3;92;273;17;0;0;7;71;130;3;6;416;276;33.7;232;44020;1;14;17.29;49;7;42795;44021;394;340;123;123;16;43955;0;0;23;23;268;43984;0;0;222;1;14;46;1440082400;2;0;2;5;0.714285714;4
458;MergeDialog;0;0;0;0;0;0;0;4;48;9;6;0;7;41;16;2;6;134;75;0;66;43937;2;2;45931;1;3;14246;1;122;94;7;7;5;43835;5;0;2;2;245;44020;0;0;41;6;6;28;1364106558;0;0;0;4;0.923076923;3
