	file	good	path
163	ImportInspectionDialog	False	src/main/java/net/sf/jabref/gui/ImportInspectionDialog.java
164	EntryEditor	False	src/main/java/net/sf/jabref/gui/entryeditor/EntryEditor.java
165	OOBibStyle	False	src/main/java/net/sf/jabref/logic/openoffice/OOBibStyle.java
166	MedlinePlainImporter	False	src/main/java/net/sf/jabref/importer/fileformat/MedlinePlainImporter.java
167	RisImporter	False	src/main/java/net/sf/jabref/importer/fileformat/RisImporter.java
168	FieldComparator	False	src/main/java/net/sf/jabref/logic/bibtex/comparator/FieldComparator.java
169	UnitsToLatexFormatter	False	src/main/java/net/sf/jabref/logic/formatter/bibtexfields/UnitsToLatexFormatter.java
170	StyleLoader	False	src/main/java/net/sf/jabref/logic/openoffice/StyleLoader.java
171	NormalizeDateFormatter	False	src/main/java/net/sf/jabref/logic/formatter/bibtexfields/NormalizeDateFormatter.java
172	NormalizePagesFormatter	False	src/main/java/net/sf/jabref/logic/formatter/bibtexfields/NormalizePagesFormatter.java
173	UndoableRemoveString	False	src/main/java/net/sf/jabref/gui/undo/UndoableRemoveString.java
174	UndoableRemoveEntry	False	src/main/java/net/sf/jabref/gui/undo/UndoableRemoveEntry.java
175	ProtectTermsFormatter	False	src/main/java/net/sf/jabref/logic/formatter/casechanger/ProtectTermsFormatter.java
176	UndoablePreambleChange	False	src/main/java/net/sf/jabref/gui/undo/UndoablePreambleChange.java
177	CountingUndoManager	False	src/main/java/net/sf/jabref/gui/undo/CountingUndoManager.java
178	LatexCleanupFormatter	False	src/main/java/net/sf/jabref/logic/formatter/bibtexfields/LatexCleanupFormatter.java
179	NormalizeMonthFormatter	False	src/main/java/net/sf/jabref/logic/formatter/bibtexfields/NormalizeMonthFormatter.java
180	RisAuthors	False	src/main/java/net/sf/jabref/logic/layout/format/RisAuthors.java
181	RisKeywords	False	src/main/java/net/sf/jabref/logic/layout/format/RisKeywords.java
182	PreviewEntryFetcher	False	src/main/java/net/sf/jabref/importer/fetcher/PreviewEntryFetcher.java
183	ExportComparator	False	src/main/java/net/sf/jabref/exporter/ExportComparator.java
184	TreeNode	False	src/main/java/net/sf/jabref/logic/groups/TreeNode.java
185	PostOpenAction	False	src/main/java/net/sf/jabref/importer/PostOpenAction.java
186	GroupSelector	True	src/main/java/net/sf/jabref/gui/groups/GroupSelector.java
187	OOBibBase	True	src/main/java/net/sf/jabref/gui/openoffice/OOBibBase.java
188	CaseKeeperList	True	src/main/java/net/sf/jabref/logic/formatter/casechanger/CaseKeeperList.java
189	VM	True	src/main/java/net/sf/jabref/bst/VM.java
190	BibLatexEntryTypes	True	src/main/java/net/sf/jabref/model/entry/BibLatexEntryTypes.java
191	TableColumnsTab	True	src/main/java/net/sf/jabref/gui/preftabs/TableColumnsTab.java
192	EmacsKeyBindings	True	src/main/java/net/sf/jabref/gui/keyboard/EmacsKeyBindings.java
193	OpenOfficePanel	True	src/main/java/net/sf/jabref/gui/openoffice/OpenOfficePanel.java
194	ManageJournalsPanel	True	src/main/java/net/sf/jabref/gui/journals/ManageJournalsPanel.java
195	TextInputDialog	True	src/main/java/net/sf/jabref/gui/plaintextimport/TextInputDialog.java
196	HTMLUnicodeConversionMaps	True	src/main/java/net/sf/jabref/logic/util/strings/HTMLUnicodeConversionMaps.java
197	MedlineHandler	True	src/main/java/net/sf/jabref/importer/fileformat/MedlineHandler.java
198	FileListEditor	True	src/main/java/net/sf/jabref/gui/fieldeditors/FileListEditor.java
199	StyleSelectDialog	True	src/main/java/net/sf/jabref/gui/openoffice/StyleSelectDialog.java
200	MainTableSelectionListener	True	src/main/java/net/sf/jabref/gui/maintable/MainTableSelectionListener.java
201	MergeEntries	True	src/main/java/net/sf/jabref/gui/mergeentries/MergeEntries.java
202	PdfContentImporter	True	src/main/java/net/sf/jabref/importer/fileformat/PdfContentImporter.java
203	GroupDialog	True	src/main/java/net/sf/jabref/gui/groups/GroupDialog.java
204	ContentSelectorDialog2	True	src/main/java/net/sf/jabref/gui/ContentSelectorDialog2.java
205	SearchResultsDialog	True	src/main/java/net/sf/jabref/gui/search/SearchResultsDialog.java
206	EntryCustomizationDialog	True	src/main/java/net/sf/jabref/gui/EntryCustomizationDialog.java
207	StringDialog	True	src/main/java/net/sf/jabref/gui/StringDialog.java
208	GVKParser	True	src/main/java/net/sf/jabref/importer/fetcher/GVKParser.java
209	FieldExtraComponents	True	src/main/java/net/sf/jabref/gui/entryeditor/FieldExtraComponents.java
210	GroupsTree	True	src/main/java/net/sf/jabref/gui/groups/GroupsTree.java
